date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:27:26	71840/71840	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/images/portfolio/item-6.jpg	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/images/portfolio/item-6.jpg	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:30	86659/86659	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/js/jquery-3.2.1.min.js	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/js/jquery-3.2.1.min.js	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:30	78786/78786	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/images/blog/3.jpg	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/images/blog/3.jpg	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:30	37045/37045	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/js/bootstrap.min.js	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/js/bootstrap.min.js	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:31	3990/3990	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/js/jquery.easypiechart.min.js	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/js/jquery.easypiechart.min.js	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:32	44342/44342	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/js/owl.carousel.min.js	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/js/owl.carousel.min.js	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:32	1894/1894	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/js/jquery.countTo.min.js	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/js/jquery.countTo.min.js	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:32	267621/267621	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/images/blog/1.jpg	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/images/blog/1.jpg	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:33	41861/41861	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/js/jquery.filterizr.js	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/js/jquery.filterizr.js	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:33	20216/20216	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/js/jquery.magnific-popup.min.js	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/js/jquery.magnific-popup.min.js	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:34	5121/5121	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/js/custom2.js	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/js/custom2.js	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:35	357343/357343	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/images/blog/2.jpg	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/images/blog/2.jpg	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:36	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/fonts/fontawesome-webfont3e6e.eot	(from https://rayhan.hasnaanajmi.org/css/font-awesome.min.css)
21:27:36	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/fonts/fontawesome-webfont.eot?	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/fonts/fontawesome-webfontd41d.eot	(from https://rayhan.hasnaanajmi.org/css/font-awesome.min.css)
21:27:37	77160/77160	---M--	200	added ('OK')	font/woff2	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/fonts/fontawesome-webfont3e6e.woff2	(from https://rayhan.hasnaanajmi.org/css/font-awesome.min.css)
21:27:39	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/fonts/glyphicons-halflings-regular.eot	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/fonts/glyphicons-halflings-regular.eot	(from https://rayhan.hasnaanajmi.org/css/bootstrap.min.css)
21:27:39	165548/165548	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/fonts/fontawesome-webfont3e6e.ttf	(from https://rayhan.hasnaanajmi.org/css/font-awesome.min.css)
21:27:39	98024/98024	---M--	200	added ('OK')	font/woff	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/fonts/fontawesome-webfont3e6e.woff	(from https://rayhan.hasnaanajmi.org/css/font-awesome.min.css)
21:27:40	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/fonts/glyphicons-halflings-regular.eot?	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/fonts/glyphicons-halflings-regulard41d.eot	(from https://rayhan.hasnaanajmi.org/css/bootstrap.min.css)
21:27:40	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/fonts/fontawesome-webfont3e6e.svg	(from https://rayhan.hasnaanajmi.org/css/font-awesome.min.css)
21:27:40	18028/18028	---M--	200	added ('OK')	font/woff2	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/fonts/glyphicons-halflings-regular.woff2	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/fonts/glyphicons-halflings-regular.woff2	(from https://rayhan.hasnaanajmi.org/css/bootstrap.min.css)
21:27:40	23424/23424	---M--	200	added ('OK')	font/woff	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/fonts/glyphicons-halflings-regular.woff	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/fonts/glyphicons-halflings-regular.woff	(from https://rayhan.hasnaanajmi.org/css/bootstrap.min.css)
21:27:41	45404/45404	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/fonts/glyphicons-halflings-regular.ttf	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/fonts/glyphicons-halflings-regular.ttf	(from https://rayhan.hasnaanajmi.org/css/bootstrap.min.css)
21:27:41	108738/108738	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/fonts/glyphicons-halflings-regular.svg	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/fonts/glyphicons-halflings-regular.svg	(from https://rayhan.hasnaanajmi.org/css/bootstrap.min.css)
21:27:42	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Oct%202023%2014:27:45%20GMT	https://rayhan.hasnaanajmi.org/css/owl.video.play.html	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/css/owl.video.play.html	(from https://rayhan.hasnaanajmi.org/css/owl.carousel.min.css)
21:27:47	379987/379987	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/images/home2.jpg	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/images/home2.jpg	(from https://rayhan.hasnaanajmi.org/css/main2.css)
21:27:58	1119147/1119147	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/images/home.jpg	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/images/home.jpg	(from https://rayhan.hasnaanajmi.org/css/main.css)
